url,scrape_num,content_snippet,score,matched_keywords,num_keywords,aging,dementia,alzhiemers,isolation,telehealth,np_501c3,grant,funding,relevence_label,grant_yesno,label_note,keyword_score,cosine_similarity,granting_organization,date_of_loi_due,date_of_submission,doc_id,source_domain,html_path,content_sha1,is_detail_page,text_path,date_seen_utc,svm_mission_score,,,Relevent Status,Count,% of Total
https://allseniors.org/grants,1,"Grants - All Seniors Foundation Skip to content 16101 Ventura Blvd (818) 581-4101 Facebook Instagram Yelp Youtube Google Logo Icon Representing The Google Brand And Related Services. Home About About Us Mission Our Team What We Provide Care Provider Network FAQs Services In-Home Supportive Services Home Health Care Hospice Care Cancer Care Wound Care Conditions Clinical Trials Our Solutions All Services Articles Get Involved Donate Volunteer Careers Events Partners Senior Reviews Prizes for Seniors Areas We Serve Contact Us Home About About Us Mission Our Team What We Provide Care Provider Network FAQs Services In-Home Supportive Services Home Health Care Hospice Care Cancer Care Wound Care Conditions Clinical Trials Our Solutions All Services Articles Get Involved Donate Volunteer Careers Events Partners Senior Reviews Prizes for Seniors Areas We Serve Contact Us Call Now Grants Grants Offered by All Seniors Foundation At All Seniors Foundation, we are committed to enhancing the lives of senior citizens through comprehensive support and services. One fundamental way we achieve this is by offering grants to organizations and individuals who share our dedication to improving the well-being of the elderly community. Application policies and guidelines The All Seniors Foundation is dedicated to enhancing the lives of senior citizens by supporting initiatives that align with our mission of providing high-quality care and services. Grant applications must be submitted by eligible organizations, including non-profits, community groups, and research institutions, that demonstrate a commitment to improving the well-being of seniors. Applicants are encouraged to design projects that address essential needs such as housing, wellness, technology, social engagement, and more. Applications should be clear, well-documented, and include a detailed plan that outlines the goals, benefits, and anticipated impact on senior communities. All submissions will undergo a thorough review to",12.2516636,"isolation, telehealth, grant, funding",4,0,0,0,1,1,0,1,1,1,1,,12,0.251664,,,,d3808c02507c7957,allseniors.org,,9acc22e2ab701c09f27b35cad81585a6c4293273,1,,2025-12-07T17:14:29Z,0.986353819,,,Not Relevent,3,0.1875
https://www.johnahartford.org/grants-strategy/current-strategies/special-initiatives,3,"Communications & Special Projects About Overview Annual Reports Board of Trustees Policies and Financial Reports Staff Job Opportunities Grants Overview Priority Areas Age-Friendly Health Systems Family Caregiving Serious Illness & End of Life Communications & Special Projects Legacy Strategies Guidelines & Resources Resources Age-Friendly Age-Friendly Care Age-Friendly Health Systems Initiative Age-Friendly Ecosystem News Overview Press Releases KFF Health News Newsletter For Journalists Insights Overview Blog Data & Surveys About Annual Reports Board of Trustees Policies and Financial Reports Staff Job Opportunities Grants Priority Areas Age-Friendly Health Systems Family Caregiving Serious Illness & End of Life Communications & Special Projects Legacy Strategies Guidelines & Resources Resources Age-Friendly Age-Friendly Care Age-Friendly Health Systems Initiative Age-Friendly Ecosystem News Press Releases KFF Health News Newsletter For Journalists Insights Blog Data & Surveys Contact JAHF Tel: 212.832.7788 Fax: 212.593.4913 The John A. Hartford Foundation 55 East 59th Street 16th Floor New York, NY 10022-1713 Subscribe Contact Menu Home Grants Priority Areas Communications & Special Projects Communications & Special Projects As The John A. Hartford Foundation works to create age-friendly health systems, support family caregivers, and improve serious illness and end-of-life care, it periodically makes grants in other areas of special interest that improve the care of older adults, but fall outside those three priority areas. The Foundation also funds projects that support all three areas, including communications activities. Explore our Communications & Special Projects grants . Reframing Aging Find resources to help you communicate about aging in ways that counter ageism and gain more support for your progams. Visit the Reframing Aging Initiative JAHF Resources December 4, 2025 New Grants Totaling $10.6 Million Approved by JAHF Board of Trustees JAHF in the News,",3.126020775,aging,1,1,0,0,0,0,0,0,0,1,1,,3,0.126021,,,,539ee44731ec3834,www.johnahartford.org,,479082a5f9a1369f66e96d03b734791897080b5b,1,,2025-12-07T17:16:48Z,0.886589497,,,Relevent,13,0.8125
http://johnahartford.org/grants-strategy/current-strategies/special-initiatives,4,"Communications & Special Projects About Overview Annual Reports Board of Trustees Policies and Financial Reports Staff Job Opportunities Grants Overview Priority Areas Age-Friendly Health Systems Family Caregiving Serious Illness & End of Life Communications & Special Projects Legacy Strategies Guidelines & Resources Resources Age-Friendly Age-Friendly Care Age-Friendly Health Systems Initiative Age-Friendly Ecosystem News Overview Press Releases KFF Health News Newsletter For Journalists Insights Overview Blog Data & Surveys About Annual Reports Board of Trustees Policies and Financial Reports Staff Job Opportunities Grants Priority Areas Age-Friendly Health Systems Family Caregiving Serious Illness & End of Life Communications & Special Projects Legacy Strategies Guidelines & Resources Resources Age-Friendly Age-Friendly Care Age-Friendly Health Systems Initiative Age-Friendly Ecosystem News Press Releases KFF Health News Newsletter For Journalists Insights Blog Data & Surveys Contact JAHF Tel: 212.832.7788 Fax: 212.593.4913 The John A. Hartford Foundation 55 East 59th Street 16th Floor New York, NY 10022-1713 Subscribe Contact Menu Home Grants Priority Areas Communications & Special Projects Communications & Special Projects As The John A. Hartford Foundation works to create age-friendly health systems, support family caregivers, and improve serious illness and end-of-life care, it periodically makes grants in other areas of special interest that improve the care of older adults, but fall outside those three priority areas. The Foundation also funds projects that support all three areas, including communications activities. Explore our Communications & Special Projects grants . Reframing Aging Find resources to help you communicate about aging in ways that counter ageism and gain more support for your progams. Visit the Reframing Aging Initiative JAHF Resources December 4, 2025 New Grants Totaling $10.6 Million Approved by JAHF Board of Trustees JAHF in the News,",3.126020775,aging,1,1,0,0,0,0,0,0,0,1,1,,3,0.126021,,,,2e6150aad07e9ed4,johnahartford.org,,479082a5f9a1369f66e96d03b734791897080b5b,1,,2025-12-07T17:18:14Z,0.886589497,,,Grand Total,16,
https://alzfdn.org/find-a-member/grant-information/23876-2/,5,"Innovation Grant for Alzheimer's-related Nonprofits Skip to content Donate Donate Now AFA Capital Campaign Start Your Own Fundraiser Find a Community Fundraiser Gifts of Stock or Other Securities Donate a Vehicle Buy a Brick Other Ways To Donate National Toll-Free Helpline: (866) 232-8484 Contact Us Alzheimer's Foundation of America Understanding Alzheimer's Alzheimer's Disease: Education Resources What Is Alzheimer's Disease? Understanding Dementia: About Dementia Dementia Warning Signs Mild Cognitive Impairment More: Clinical Research Trials Facts & Tips Find Help Our Services: AFA Helpline Virtual Helpline Assistant AFA Educating America Tour Long Island Resource Center Memory Screening: Screening Overview About Memory Screening Get a Free Screening Online Memory Test Screening Site Login Memory Screening (members only) Caregiver Support: Caregiver Resources Overview Caregiver Support Groups Creating a Dementia-Friendly Home Caregiving Tips & Facts Webinars Find An AFA Member Media: Media Center The AFA Teal Room Alzheimer’s TODAY Magazine Teal Times In the News Press Releases AFA Fireside Chat Get Involved Giving: Donate Create Your Own Fundraiser Find a Community Fundraiser Other Ways To Donate Youth Programs: AFA Teens AFA On Campus Teen Alzheimer’s Awareness Scholarship Events: Events Calendar AFA Educating America Tour AFA Fireside Chat Community Classes (NYC) Class Registration Light The World In Teal Professional Training & Membership Education & Professional Training: Overview Trainings & Educational Workshops AFA’s Online Academy Accreditation and Certification for Organizations Professional Certifications Membership & Grants: AFA’s Member Network Find An AFA Member Organization Grant Information Teen Alzheimer’s Awareness Scholarship About AFA What We Do: Mission, Values & History Our Research Projects Long Island Resource Center The People of AFA: Board of Directors Leadership Medical, Scientific & Memory Screening Advisory Board AFA Professional Leade",15.04501662,"aging, dementia, alzheimer's, grant, funding",5,1,1,1,0,0,0,1,1,1,1,,15,0.045017,,,,83f263be9989857c,alzfdn.org,,fed70ed826cc12858d0311e02a9585346c6d4561,1,,2025-12-07T17:24:05Z,0.958153537,,,,,
https://alzfdn.org/find-a-member/grant-information/bi-annual-grant/,6,"Bi-Annual Grant | Alzheimer's Foundation of America Skip to content Donate Donate Now AFA Capital Campaign Start Your Own Fundraiser Find a Community Fundraiser Gifts of Stock or Other Securities Donate a Vehicle Buy a Brick Other Ways To Donate National Toll-Free Helpline: (866) 232-8484 Contact Us Alzheimer's Foundation of America Understanding Alzheimer's Alzheimer's Disease: Education Resources What Is Alzheimer's Disease? Understanding Dementia: About Dementia Dementia Warning Signs Mild Cognitive Impairment More: Clinical Research Trials Facts & Tips Find Help Our Services: AFA Helpline Virtual Helpline Assistant AFA Educating America Tour Long Island Resource Center Memory Screening: Screening Overview About Memory Screening Get a Free Screening Online Memory Test Screening Site Login Memory Screening (members only) Caregiver Support: Caregiver Resources Overview Caregiver Support Groups Creating a Dementia-Friendly Home Caregiving Tips & Facts Webinars Find An AFA Member Media: Media Center The AFA Teal Room Alzheimer’s TODAY Magazine Teal Times In the News Press Releases AFA Fireside Chat Get Involved Giving: Donate Create Your Own Fundraiser Find a Community Fundraiser Other Ways To Donate Youth Programs: AFA Teens AFA On Campus Teen Alzheimer’s Awareness Scholarship Events: Events Calendar AFA Educating America Tour AFA Fireside Chat Community Classes (NYC) Class Registration Light The World In Teal Professional Training & Membership Education & Professional Training: Overview Trainings & Educational Workshops AFA’s Online Academy Accreditation and Certification for Organizations Professional Certifications Membership & Grants: AFA’s Member Network Find An AFA Member Organization Grant Information Teen Alzheimer’s Awareness Scholarship About AFA What We Do: Mission, Values & History Our Research Projects Long Island Resource Center The People of AFA: Board of Directors Leadership Medical, Scientific & Memory Screening Advisory Board AFA Professional Leade",15.05765691,"aging, dementia, alzheimer's, grant, funding",5,1,1,1,0,0,0,1,1,1,1,,15,0.057657,,,,767fb84954636279,alzfdn.org,,5d55800ff3d12d73dbd1d7a31ce196c4015a123a,1,,2025-12-07T17:24:10Z,0.821016485,,,,,
https://www.hrsa.gov/telehealth/grants,7,"Grants & Programs | HRSA Skip to main content U.S. Department of Health & Human Services Health Resources & Services Administration Explore Bureaus and Offices Newsroom Contact HRSA Menu Home Grants & Programs Grants & Programs Overview Policy & Research Telehealth Resource Centers Project Officers Resources Resources Overview Telehealth.HHS.gov National Telehealth Conference About Us About OAT Key Staff What Is Telehealth? Search Search Breadcrumb navigation Office for the Advancement of Telehealth Grants & Programs Grants & Programs The Office for the Advancement of Telehealth (OAT) improves access to quality health care through integrated telehealth services. OAT provides telehealth funding and administers programs focused on direct services, research, and technical assistance. Which programs focus on technical assistance? Telehealth Resource Center Program Program Cycle: 9/1/2021 – 8/31/2025 The Telehealth Resource Centers (TRCs) deliver telehealth technical assistance. There are two types of HRSA Telehealth Resource Center (TRC) programs: Two National Telehealth Resource Center Programs (NTRC) focus on policy and technology. Twelve Regional Telehealth Resource Center Programs (RTRC) host activities and provide resources to rural and underserved areas. The HRSA Telehealth Resource Centers: Provide training and support Publicize information and research findings Support collaboration and partnerships Promote effective partnerships Promote the use of telehealth by providing health care information and education to the public and medical specialists The TRCs share expertise through individual consults, training, webinars, conference presentations, and the web. For more information, visit the Telehealth Resource Centers page . How can I contact you about the TRCs? Louise Nott Email: LNott@hrsa.gov Phone: 301-443-0614 Telehealth Broadband Pilot (TBP) Program Program Cycle: 1/4/2021 – 12/31/2024 This pilot program aims to improve access to healthcare and telehealth. T",8.14434977,"telehealth, grant, funding",3,0,0,0,0,1,0,1,1,0,0,landing paage,8,0.14435,,,,b8148be7dc8bee1a,www.hrsa.gov,,f82b5b2fa673cd7f0317f7624b9e5217597ff95d,1,,2025-12-07T17:28:14Z,0.03272256,,,,,
https://www.hrsa.gov/grants/find-funding/HRSA-20-036,8,"Telehealth Network Grant Program | HRSA Skip to main content U.S. Department of Health & Human Services Health Resources & Services Administration Call or Text the Maternal Mental Health Hotline Parents: don’t struggle alone The National Maternal Mental Health Hotline provides free, confidential mental health support. Moms and new parents can call or text any time, every day. Start a call: 1-833-TLC-MAMA (1-833-852-6262) Text now: 1-833-TLC-MAMA (1-833-852-6262) Use TTY: Use your preferred relay service or dial 711 , then 1-833-852-6262 . Learn more about the Hotline HRSA Menu Home Services Scholarships and Loan Repayment for Health Careers Find a Health Center Healthy Start National Maternal Mental Health Hotline Home Visits for Moms and Children Ryan White HIV/AIDS Program Grants Grants Overview Find Funding Apply for a Grant Manage Your Grant Attend Training Become a Grant Reviewer Grant FAQs Congressionally Directed Spending Grants Help Loans & Scholarships Loans & Scholarships Overview Faculty Loan Repayment National Health Service Corps Native Hawaiian Health Scholarship Nurse Corps Loan Repayment Program Nurse Corps Scholarship Program For Schools: Loan Programs Data Warehouse Data Warehouse Overview Download Data Explore Maps Find Shortage Areas Find a Health Center About HRSA About HRSA Overview Strategic Priority Areas Budget Bureaus & Offices eNews Key Staff Organization Chart Press Releases Contact Us HRSA en español HRSA en español inicio Nuestros servicios Biblioteca de recursos Acerca de HRSA Seminarios virtuales Glosario de términos Search Search Bureaus and Offices Newsroom Contact HRSA Breadcrumb navigation Home Grants Find Grant Funding Telehealth Network Grant Program Apply for a Grant Expandable sidenav button Find Grant Funding Who Can Apply Prepare Your Application Follow the Application Process Track Your Application Manage your Grant Expandable sidenav button GrantSolutions at HRSA Training Administrative Management Financial Management Repo",8.131790269,"telehealth, grant, funding",3,0,0,0,0,1,0,1,1,1,1,,8,0.13179,,,,8579b765f0a3da2c,www.hrsa.gov,,5c28d437f5f15d906b49e31fc6691e56963d2b95,1,,2025-12-07T17:29:03Z,0.980196668,,,,,
https://cfncw.org/communitypartnershipgrant/,9,"Community Partnership Grant - Community Foundation of North Central Washington Skip to content LOGINS Fundholder Login Grant Applicant Login Scholarship Login Board Trustee Resources Local Advisory Board Login MENU Home About News & Events Giving Nonprofits Scholarships Professional Advisors Reserve a Conference Room CONFLUENCE HEALTH & WVMG COMMUNITY PARTNERSHIP GRANT APPLY NOW This grant is now being managed by the Confluence Health Foundation. You'll be directed to their website when you click to apply. Application Open: June 1 Application Deadline: July 31 Effective May 1, 2025, the management of the Confluence Health and Wenatchee Valley Medical Group Community Health Partnership Fund will be transferred from the Community Foundation of NCW to the Confluence Health Foundation. This change stems from the incredible interest and support for these grants over the past few years. In fact, the number of requests has tripled over the past two years, a true testament to how much good this investment in our region can really do. What This Means for You The grant is funded jointly by Confluence Health and the Wenatchee Valley Medical Group (WVMG) and is managed by the Confluence Health Foundation. Created to help support causes and organizations in Chelan, Douglas, Grant, and Okanogan counties, the fund awards up to $500,000 each year in grants to programs that advance health and wellness and social determinants of health in our communities. Key Areas of Focus Health & Wellness: Projects that directly support comprehensive health and wellness access and activities. Social Determinants of Health: Initiatives addressing food and housing security, early education, economic stability, and social support systems. Eligibility and How to Apply Applicants must be a 501(c)(3) non-profit organization in Chelan, Douglas, Grant, or Okanogan counties. Each organization is limited to one grant proposal per grant cycle. Churches and faith-based organizations, even if the grant is inte",6.144444593,"grant, funding",2,0,0,0,0,0,0,1,1,1,1,,6,0.144445,,,,38cd432a7f18d81f,cfncw.org,,e8abba015d731354a964c90c2e3f2696ab663201,1,,2025-12-07T17:37:07Z,0.682543402,,,,,
https://cfncw.org/watervillecommunityfundgrant/,10,"Waterville Community Fund Grant - Community Foundation of North Central Washington Skip to content LOGINS Fundholder Login Grant Applicant Login Scholarship Login Board Trustee Resources Local Advisory Board Login MENU Home About News & Events Giving Nonprofits Scholarships Professional Advisors Reserve a Conference Room WATERVILLE COMMUNITY FUND GRANT APPLY NOW Application Opens: October 1 Application Deadline: December 1 The Waterville Community Fund provides grant funding for innovative programs that help to meet the needs of the Waterville community and its citizens. The fund supports a variety of organizations and activities, such as: Arts and Culture Civic Projects Conservation and Environment Education Health and Human Services Priority is given to projects that provide enhancements to existing programs (rather than core operating needs,) have limited access to other funding sources, and that support the work of dedicated community volunteers. Grant Guidelines Applicants must be a 501(c)3 nonprofit charitable organization or governmental agency whose program serves the Waterville community. Grant funds must be expended within one year of award date. Grant funds must not be used to reimburse previously incurred expenses. Organizations are limited to one grant application per grant cycle (with the exception of those acting as a fiscal sponsor for another applicant). Evaluation Each application is reviewed by the Waterville Community Fund Advisory Committee with grant recommendations made to the Community Foundation’s Board of Trustees. Applicants will be notified of award status in December. GRANTS MENU Grants Community Partnership Grant Legacy Funds Grants Cashmere Fund Chelan Valley Fund Methow Valley Fund Okanogan Valley Fund Upper Valley Fund Wenatchee Valley Fund Make A Difference Day Grant NCW Foundation for Youth Grant The Washington Opportunity Fund Waterville Community Fund Grant Wenatchee High School Foundation Grant Woods Family Music and Arts Grant ",6.070860759,"grant, funding",2,0,0,0,0,0,0,1,1,1,1,,6,0.070861,,,,931b9f6fcb2a3046,cfncw.org,,549cedb45dedc423493bec63522e4c3e37ea5c12,1,,2025-12-07T17:37:27Z,0.952473761,,,,,
https://www.rrf.org/what-we-fund/social-and-intergenerational-connectedness,11,"Social and Intergenerational Connectedness - RRF Foundation for Aging The Retirement Research Foundation, dba RRF Foundation for Aging 773.714.8080 Larger font size Twitter Linkedin Home What We Fund Caregiving Economic Security in Later Life Housing Social and Intergenerational Connectedness Organizational Capacity Building Other Promising Projects Apply for a Grant Advocacy Grants Direct Service Grants in Illinois Professional Education & Training Grants Research Grants Organizational Capacity Building Grants Application Info & Tips Knowledge Center About Us Our History Our Board & Staff Financials Grant History Contact Us News For Grantees Menu Home What We Fund Caregiving Economic Security in Later Life Housing Social and Intergenerational Connectedness Organizational Capacity Building Other Promising Projects Apply for a Grant Advocacy Grants Direct Service Grants in Illinois Professional Education & Training Grants Research Grants Organizational Capacity Building Grants Application Info & Tips Knowledge Center About Us Our History Our Board & Staff Financials Grant History Contact Us News For Grantees Search Close Social and Intergenerational Connectedness Reducing isolation and loneliness in later life through efforts that strengthen meaningful social bonds, including those that span generations Meaningful connection is a fundamental part of what constitutes a good life at any age. Although relationships may be many or few and may vary in intensity and duration, they serve as an emotional lifeline, nourishing us and playing a critical role in our larger health and well-being, especially as we get older. Of course, the flip side of social connection is isolation and the feelings of loneliness that may follow. Research has found that high rates of older adults report feeling isolated and lonely. [1] There are many reasons for this, and as the COVID-19 pandemic brought to light, the unequal allocation of resources has further created a divide that separates many",13.18121754,"aging, isolation, grant, funding",4,1,0,0,1,0,0,1,1,1,1,,13,0.181218,,,,f2de5c29098e0bc2,www.rrf.org,,21d17578cb4574db3752225d80b1c8823e032165,1,,2025-12-07T17:42:18Z,0.993546242,,,,,
