pmcid,file_path,title_lenght,title,journal,pub_year,word_count,sentence_count,label_q1,label_q2,checking_website,legit_coloncancer_article,note,sg_query,th_query
PMC11042192,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11042192.xml,99,Metastasis of colon cancer requires Dickkopf-2 to generate cancer cells with Paneth cell properties,bioRxiv,2024,4032,229,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11042192/,1,,0,0
PMC11361113,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11361113.xml,218,"OTU deubiquitinase, ubiquitin aldehyde binding 2  (OTUB2) modulates the stemness feature, chemoresistance, and epithelial-mesenchymal transition of colon cancer via regulating GINS complex subunit 1 (GINS1) expression",Cell Communication and Signaling : CCS,2024,10996,526,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11361113/,1,,0,0
PMC11361649,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11361649.xml,192,"Differential expression and regulation of ADAD1, DMRTC2, PRSS54, SYCE1, SYCP1, TEX101, TEX48, and TMPRSS12 gene profiles in colon cancer tissues and their in vitro response to epigenetic drugs",PLOS ONE,2024,7027,267,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11361649/,1,,0,0
PMC11370012,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11370012.xml,214,A log odds of positive lymph nodes-based predictive model effectively forecasts prognosis and guides postoperative adjuvant chemotherapy duration in stage III colon cancer: a multi-center retrospective cohort study,BMC Cancer,2024,3778,147,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11370012/,1,,0,0
PMC11371203,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11371203.xml,135,Deep neural networks integrating genomics and histopathological images for predicting stages and survival time-to-event in colon cancer,PLOS ONE,2024,4632,176,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11371203/,1,,0,0
PMC11372073,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11372073.xml,114,Exploiting histopathological imaging for early detection of lung and colon cancer via ensemble deep learning model,Scientific Reports,2024,8057,306,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11372073/,1,,0,0
PMC11375873,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11375873.xml,193,Robotic purse-string suture technique for intracorporeal anastomosis using double-stapling technique in robotic resection of rectal and sigmoid colon cancer: a propensity score-matched analysis,BMC Surgery,2024,2765,110,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11375873/,1,,0,1
PMC11377494,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11377494.xml,134,RETRACTED ARTICLE: NR3C2 affects the proliferation and invasiveness of colon cancer cells through the Wnt/β-Catenin signaling pathway,Journal of Cancer Research and Clinical Oncology,2024,4472,274,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11377494/,0,retraction,0,0
PMC11377996,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11377996.xml,107,Anti-TNFR2 Antibody-Conjugated PLGA Nanoparticles for Targeted Delivery of Adriamycin in Mouse Colon Cancer,Research,2024,7502,390,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11377996/,1,,0,0
PMC11390591,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11390591.xml,148,Exploration of the ubiquitination-related molecular classification and signature to predict the survival and immune microenvironment in colon cancer,Frontiers in Genetics,2024,6059,274,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11390591/,1,,0,0
PMC11391230,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11391230.xml,105,The Relationship Between DNA Mismatch Repair Status and Clinicopathologic Characteristics in Colon Cancer,The Turkish Journal of Gastroenterology,2024,2789,108,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11391230/,1,,0,0
PMC11391487,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11391487.xml,112,Multi-omics analysis reveals the landscape of tumor microenvironments in left-sided and right-sided colon cancer,Frontiers in Medicine,2024,5144,243,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11391487/,1,,0,0
PMC11393569,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11393569.xml,113,A case of acute lithium poisoning and hypermagnesemia involving advanced colon cancer-induced colonic obstruction,Oxford Medical Case Reports,2024,1221,69,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11393569/,1,,0,0
PMC11393973,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11393973.xml,150,Retrocolic Fascia—An Anatomical and Multidetector Computed Tomographic Angiography (MDCTA) Morphometric Analysis in Patients with Right Colon Cancer,Diagnostics,2024,3646,169,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11393973/,1,,0,0
PMC11397642,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11397642.xml,154,"Dentatacid A: An Unprecedented 2, 3-Seco-arbor-2, 3-dioic Triterpenoid from the Invasive Plant Euphorbia dentata, with Cytotoxicity Effect on Colon Cancer",Plants,2024,4317,197,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11397642/,1,,0,0
PMC11399872,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11399872.xml,92,Transverse colon cancer: a call for focused research in an understudied heterogenous disease,Journal of Gastrointestinal Oncology,2024,2605,78,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11399872/,1,,0,0
PMC11407886,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11407886.xml,129,Manilkara zapota (L.) P. Royen Leaf Mitigates Colitis-Associated Colon Cancer through Anti-inflammatory Modulation in BALB/C Mice,Advances in Pharmacological and Pharmaceutical Sciences,2024,4728,234,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11407886/,1,,1,0
PMC11408065,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11408065.xml,113,Risk of bowel obstruction in patients with colon cancer responding to immunotherapy: an international case series,ESMO Open,2024,2727,91,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11408065/,1,,0,0
PMC11416042,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11416042.xml,90,Retracted: LOC101060264 Silencing Suppresses Invasion and Metastasis of Human Colon Cancer,Medical Science Monitor : International Medical Journal of Experimental and Clinical Research,2024,39,1,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11416042/,0,retraction,0,0
PMC11417107,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11417107.xml,102,Single-cell exome sequencing reveals polyclonal seeding and TRPS1 mutations in colon cancer metastasis,Signal Transduction and Targeted Therapy,2024,9960,483,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11417107/,1,,0,0
PMC11420861,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11420861.xml,118,"Precision Treatment
of Colon Cancer Using Doxorubicin-Loaded
Metal–Organic-Framework-Coated Magnetic Nanoparticles",ACS Applied Materials & Interfaces,2024,4876,224,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11420861/,1,,0,0
PMC11428399,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11428399.xml,90,Characterization of Extractable and Non-Extractable Phenols and Betalains in Berrycactus (,Antioxidants,2024,6054,252,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11428399/,1,,1,0
PMC11431989,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11431989.xml,172,Exposure of Colon-Derived Epithelial Monolayers to Fecal Luminal Factors from Patients with Colon Cancer and Ulcerative Colitis Results in Distinct Gene Expression Patterns,International Journal of Molecular Sciences,2024,3534,151,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11431989/,1,,1,0
PMC11434803,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11434803.xml,104,Synergistic Enhancement of 5-Fluorouracil Chemotherapeutic Efficacy by Taurine in Colon Cancer Rat Model,Nutrients,2024,5659,251,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11434803/,1,,0,0
PMC11436827,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11436827.xml,73,Revisiting the survival paradox between stage IIB/C and IIIA colon cancer,Scientific Reports,2024,3705,150,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11436827/,1,,0,0
PMC11437868,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11437868.xml,131,High expression of PAX8-AS1 correlates with poor prognosis and response to fluorouracil-based chemotherapy in stage II colon cancer,Translational Oncology,2024,5374,241,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11437868/,1,,0,0
PMC11437914,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11437914.xml,133,Post-surgery sequelae unrelated to disease progression and chemotherapy revealed in follow-up of patients with stage III colon cancer,eBioMedicine,2024,10836,369,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11437914/,1,,0,0
PMC11437918,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11437918.xml,119,Rod-shaped mesoporous silica nanoparticles reduce bufalin cardiotoxicity and inhibit colon cancer by blocking lipophagy,Lipids in Health and Disease,2024,4357,255,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11437918/,1,,0,0
PMC11438057,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11438057.xml,125,Gut microbiota drives colon cancer risk associated with diet: a comparative analysis of meat-based and pesco-vegetarian diets,Microbiome,2024,14291,696,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11438057/,1,,1,0
PMC11438628,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11438628.xml,116,Pan-immune-inflammation value as a prognostic biomarker for colon cancer and its variation by primary tumor location,World Journal of Gastroenterology,2024,4250,146,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11438628/,1,,0,0
PMC11438813,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11438813.xml,110,Impact of dexmedetomidine-assisted anesthesia in elderly patients undergoing radical resection of colon cancer,World Journal of Gastrointestinal Surgery,2024,3677,107,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11438813/,1,,0,0
PMC11439173,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11439173.xml,122,Cystathionine-?-synthase expression correlates with tumour progression and adverse prognosis in patients with colon cancer,The Journal of International Medical Research,2024,2950,113,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11439173/,1,,0,0
PMC11439623,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11439623.xml,177,Clinical significance of the modified Naples prognostic score in patients with stage II-III colon cancer undergoing curative resection: a retrospective study from the real world,Frontiers in Oncology,2024,4531,173,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11439623/,1,,0,0
PMC11443174,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11443174.xml,119,Prognostic cellular senescence-related lncRNAs patterns to predict clinical outcome and immune response in colon cancer,Frontiers in Immunology,2024,4356,216,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11443174/,1,,0,0
PMC11443797,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11443797.xml,113,Machine learning model predicting factors for incisional infection following right hemicolectomy for colon cancer,BMC Surgery,2024,3455,159,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11443797/,1,,0,0
PMC11447342,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11447342.xml,210,"Neoadjuvant chemoradiotherapy versus neoadjuvant chemotherapy for initially unresectable locally advanced colon cancer: short-term outcomes of an open-label, single-centre, randomised, controlled, phase 3 trial",eClinicalMedicine,2024,4408,175,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11447342/,1,,0,0
PMC11450016,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11450016.xml,139,Inflammatory bowel disease uncovered in fecal immunochemical test positive patients in a Canadian provincial colon cancer screening program,Scientific Reports,2024,3576,161,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11450016/,1,,0,0
PMC11453003,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11453003.xml,110,A radiomics model for predicting perineural invasion in stage II-III colon cancer based on computer tomography,BMC Cancer,2024,3671,139,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11453003/,1,,0,0
PMC11457321,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11457321.xml,147,Prospective observational non-randomized trial protocol for surgical planner 3D image processing & reconstruction for locally advanced colon cancer,BMC Surgery,2024,2980,117,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11457321/,1,,0,0
PMC11461724,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11461724.xml,229,RAS mutant transverse colon cancer with multiple liver metastases achieving long-term disease-free survival with postoperative maintenance therapy with aflibercept + FOLFIRI and four repeated radical resections: a case report,Surgical Case Reports,2024,2271,135,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11461724/,1,,0,0
PMC11463715,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11463715.xml,101,Anesthetic Challenges of a Patient With Limb-Girdle Muscular Dystrophy in a Patient With Colon Cancer,Cureus,2024,1084,53,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11463715/,1,,0,0
PMC11464972,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11464972.xml,135,Development and validation of a prognostic model for colon cancer based on mitotic gene signatures and immune microenvironment analysis,Discover Oncology,2024,4586,231,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11464972/,1,,0,0
PMC11466454,C:\Users\miked\Desktop2\RIT Info Retriv and Text Mining\project\data\PMC11466454.xml,126,Resting natural killer cells promote the progress of colon cancer liver metastasis by elevating tumor-derived stem cell factor,eLife,2024,7688,339,0,0,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC11466454/,1,,0,0
